PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
SALUZ,PACOTE,PACOTE CONTRACEPTIVO 1 (CONSULTA+INSERÇÃO DE DIU DE COBRA DIU DA CLINICA),"R$ 950,00","R$ 630,00","R$ 800,00"
SALUZ,PACOTE,PACOTE CONTRACEPTIVO 2 (CONSULTA+IMPLANON),"R$ 2.410,00","R$ 2.150,00","R$ 2.500,00"
SALUZ,PACOTE,PACOTE GINECOLOGICO (CONSULTA+PREVENTIVO+TRANSVAGINAL),"R$ 590,00","R$ 340,00","R$ 400,00"
SALUZ,PACOTE,PACOTE SAUDE GINECOLOGICA,"R$ 410,00","R$ 250,00","R$ 300,00"
SALUZ,PACOTE,PACOTES OBSTETRICOS 1 (2 MORFOLÓGICA+1 OBSTETRICA SIMPLES),"R$ 880,00","R$ 570,00","R$ 792,00"
SALUZ,PACOTE,PACOTES OBSTÉTRICOS 2 (6 CONSULTAS+2 MORFOLOGICAS+1 USG OBSTETRICA SIMPLES+1 SEXAGEM),"R$ 2.140,00","R$ 1.550,00","R$ 1.926,00"
SALUZ,PACOTE,PARECER CARDIOLÓGICO (CONSULTA+ELETROCARDIOGRAMA),"R$ 310,00","R$ 160,00","R$ 197,00"
SALUZ,CONSULTA,RETIRADA DE DIU,"R$ 200,00","R$ 160,00","R$ 190,00"
SALUZ,EXAME,USG ABDOME PEDIÁTRICO A PARTIR DE 3 ANOS DE IDADE,"R$ 170,00","R$ 140,00","R$ 165,00"
SALUZ,EXAME,USG ABDOME SUPERIOR,"R$ 150,00","R$ 130,00","R$ 155,00"
SALUZ,EXAME,USG ABDOME TOTAL,"R$ 160,00","R$ 140,00","R$ 170,00"
SALUZ,EXAME,USG MAMA,"R$ 160,00","R$ 130,00","R$ 157,00"
SALUZ,EXAME,USG MMI COM DOPPLER,"R$ 320,00","R$ 230,00","R$ 280,00"
SALUZ,EXAME,USG MORFOLOGICA DE PRIMEIRO TRIMESTRE,"R$ 290,00","R$ 230,00","R$ 280,00"
SALUZ,EXAME,USG MORFOLOGICA DE SEGUNDO TRIMESTRE,"R$ 290,00","R$ 230,00","R$ 280,00"
SALUZ,EXAME,USG MUSCULO ESQUELÉTICO,"R$ 160,00","R$ 125,00","R$ 160,00"
SALUZ,EXAME,USG OBSTETRICA BÁSICA PRIMEIRO TRIMESTRE,"R$ 150,00","R$ 125,00","R$ 145,00"
SALUZ,EXAME,USG OBSTÉTRICA BÁSICA SEGUNDO E TERCEIRO TRIMESTRE),"R$ 190,00","R$ 140,00","R$ 170,00"
SALUZ,EXAME,USG OBSTETRICA COM DOPPLER,"R$ 230,00","R$ 160,00","R$ 190,00"
SALUZ,EXAME,USG OBSTETRICA GEMELAR,"R$ 300,00","R$ 110,00","R$ 160,00"
SALUZ,EXAME,USG OMBRO,"R$ 180,00","R$ 135,00","R$ 160,00"
SALUZ,EXAME,USG PAREDE ABDMONIAL,"R$ 150,00","R$ 130,00","R$ 150,00"
SALUZ,EXAME,USG PARTES MOLES,"R$ 150,00","R$ 130,00","R$ 150,00"
SALUZ,EXAME,USG PÉLVICO,"R$ 150,00","R$ 120,00","R$ 150,00"
SALUZ,EXAME,USG PROSTATA VIA ABDOMINAL,"R$ 140,00","R$ 130,00","R$ 160,00"
SALUZ,EXAME,USG REGIÃO CERVICAL,"R$ 160,00","R$ 130,00","R$ 160,00"
SALUZ,EXAME,USG REGIÃO INGUINAL,"R$ 160,00","R$ 130,00","R$ 150,00"
SALUZ,EXAME,USG TIREOIDE,"R$ 150,00","R$ 130,00","R$ 150,00"
SALUZ,EXAME,USG TIREOIDE COM DOPPLER,"R$ 180,00","R$ 140,00","R$ 170,00"
SALUZ,EXAME,USG TRANSVAGINAL COM CONTAGEM DE FOLÍCULOS,"R$ 280,00","R$ 190,00","R$ 250,00"
SALUZ,EXAME,USG TRANSVAGINAL COM DOPPLER,"R$ 170,00","R$ 135,00","R$ 160,00"
SALUZ,EXAME,USG TRANSVAGINAL SIMPLES,"R$ 150,00","R$ 125,00","R$ 147,00"
SALUZ,EXAME,USG VIAS URINÁRIAS COM PRÉ E PÓS MICCIONAL,"R$ 170,00","R$ 135,00","R$ 160,00"
SALUZ,EXAME,USG VIAS URINÁRIAS SIMPLES,"R$ 140,00","R$ 130,00","R$ 155,00"
