Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
Wolff Hans;Abdominoplastia + Ninfoplastia; R$ 13.750,00 ; R$ 11.000,00 ;22/05/2025;;;;Wolff HansAbdominoplastia + Ninfoplastia
Wolff Hans;Abdominoplastia + Hérnia; R$ 10.625,00 ; R$ 8.500,00 ;22/05/2025;;;;Wolff HansAbdominoplastia + Hérnia
Wolff Hans;Abdominoplastia + Lipoescultura; R$ 23.000,00 ; R$ 18.400,00 ;23/05/2025;;;;Wolff HansAbdominoplastia + Lipoescultura
Wolff Hans;Abdominoplastia + Lipoescultura+Enxertia de Glutéo; R$ 24.240,00 ; R$ 20.200,00 ;28/05/2025;;;;Wolff HansAbdominoplastia + Lipoescultura+Enxertia de Glutéo
Wolff Hans;Rinoplastia; R$ 11.250,00 ; R$ 9.000,00 ;22/05/2025;;;;Wolff HansRinoplastia
Wolff Hans;Rinoplastia C/ Retirada De Costela; R$ 13.750,00 ; R$ 11.000,00 ;22/05/2025;;;;Wolff HansRinoplastia C/ Retirada De Costela
Wolff Hans;Otoplastia; R$ 8.125,00 ; R$ 6.500,00 ;22/05/2025;;;;Wolff HansOtoplastia
Wolff Hans;Blefaroplastia Superior + Inferior; R$ 9.750,00 ; R$ 7.800,00 ;22/05/2025;;;;Wolff HansBlefaroplastia Superior + Inferior
Wolff Hans;Blefaroplastia Superior; R$ 5.000,00 ; R$ 4.000,00 ;08/07/2025;;;;Wolff HansBlefaroplastia Superior
Wolff Hans;Blefaroplastia Inferior; R$ 5.000,00 ; R$ 4.000,00 ;22/05/2025;;;;Wolff HansBlefaroplastia Inferior
Wolff Hans;Lifting Coxa; R$ 8.750,00 ; R$ 7.000,00 ;22/05/2025;;;;Wolff HansLifting Coxa
Wolff Hans;Lifting Braço; R$ 8.750,00 ; R$ 7.000,00 ;22/05/2025;;;;Wolff HansLifting Braço
Wolff Hans;Ninfoplastia Pequenos Lábios; R$ 4.750,00 ; R$ 3.800,00 ;22/05/2025;;;;Wolff HansNinfoplastia Pequenos Lábios
Wolff Hans;Ninfoplastia Com Enxertia De Gordura; R$ 8.125,00 ; R$ 6.500,00 ;22/05/2025;;;;Wolff HansNinfoplastia Com Enxertia De Gordura
Wolff Hans;Mamoplastia De Aumento + Lipo Média; R$ 17.812,50 ; R$ 14.250,00 ;22/05/2025;;;;Wolff HansMamoplastia De Aumento + Lipo Média
Wolff Hans;Mamoplastia De Aumento + Lipo Pequena 2 Horas; R$ 15.000,00 ; R$ 12.000,00 ;22/05/2025;;;;Wolff HansMamoplastia De Aumento + Lipo Pequena 2 Horas
Wolff Hans;Bota Pneumática Cirúrgica; R$ 375,00 ; R$ 300,00 ;22/05/2025;;;;Wolff HansBota Pneumática Cirúrgica
Wolff Hans;Curativos Até 3; R$ 250,00 ; R$ 200,00 ;22/05/2025;;;;Wolff HansCurativos Até 3
Tercio Coelho;Mamoplastia De Aumento; R$ 10.560,00 ; R$ 8.800,00 ;22/05/2025;;;;Tercio CoelhoMamoplastia De Aumento
Tercio Coelho;Mamoplastia Redutora; R$ 14.520,00 ; R$ 12.100,00 ;22/05/2025;;;;Tercio CoelhoMamoplastia Redutora
Tercio Coelho;Mastopexia Com Prótese; R$ 15.840,00 ; R$ 13.200,00 ;22/05/2025;;;;Tercio CoelhoMastopexia Com Prótese
Tercio Coelho;Mastopexia Sem Prótese; R$ 14.520,00 ; R$ 12.100,00 ;22/05/2025;;;;Tercio CoelhoMastopexia Sem Prótese
Tercio Coelho;Ginecomastia; R$ 7.920,00 ; R$ 6.600,00 ;22/05/2025;;;;Tercio CoelhoGinecomastia
Tercio Coelho;Ginecomastia Com Lipo De Peitoral; R$ 9.240,00 ; R$ 7.700,00 ;22/05/2025;;;;Tercio CoelhoGinecomastia Com Lipo De Peitoral
Tercio Coelho;Abdominoplastia; R$ 11.880,00 ; R$ 9.900,00 ;22/05/2025;;;;Tercio CoelhoAbdominoplastia
Tercio Coelho;Abdominoplastia Em Ancora; R$ 13.200,00 ; R$ 11.000,00 ;22/05/2025;;;;Tercio CoelhoAbdominoplastia Em Ancora
Tercio Coelho;Miniabdominoplastia; R$ 10.560,00 ; R$ 8.800,00 ;22/05/2025;;;;Tercio CoelhoMiniabdominoplastia
Tercio Coelho;Lipoaspiração De Papada; R$ 5.280,00 ; R$ 4.400,00 ;22/05/2025;;;;Tercio CoelhoLipoaspiração De Papada
Tercio Coelho;Lipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax); R$ 7.920,00 ; R$ 6.600,00 ;22/05/2025;;;;Tercio CoelhoLipoaspiracão Pequena (Ex: Braços Ou Coxas Ou Axilas + Torax)
