PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Biolab,Exame,CATECOLAMINAS URINARIAS 24H," R$  120,00 "," R$  84,00 ","R$ 0,00"
Biolab,Exame,CAXUMBA IGM," R$  40,00 "," R$  28,00 ","R$ 0,00"
Biolab,Exame,"CAXUMBA, IGG"," R$  40,00 "," R$  28,00 ","R$ 0,00"
Biolab,Exame,"CAXUMBA, IGG E IGM"," R$  80,00 "," R$  70,00 ","R$ 0,00"
Biolab,Exame,CD19," R$  140,00 "," R$  98,00 ","R$ 0,00"
Biolab,Exame,CD3," R$  140,00 "," R$  98,00 ","R$ 0,00"
Biolab,Exame,CD4," R$  110,00 "," R$  77,00 ","R$ 0,00"
Biolab,Exame,CD4 E CD8 + CD3 SUBPOPULACAO LINFOCITARIA (T4/T8)," R$  140,00 "," R$  98,00 ","R$ 0,00"
Biolab,Exame,CD8," R$  100,00 "," R$  70,00 ","R$ 0,00"
Biolab,Exame,CENTROMERO," R$  90,00 "," R$  45,00 ","R$ 0,00"
Biolab,Exame,CERULOPLASMINA," R$  30,00 "," R$  23,00 ","R$ 0,00"
Biolab,Exame,CHAGAS - HEMOAGLUTINAÇÃO (HÁ)," R$  60,00 "," R$  42,00 ","R$ 0,00"
Biolab,Exame,CHAGAS IGG," R$  20,00 "," R$  16,00 ","R$ 0,00"
Biolab,Exame,CHAGAS IGM - IFI," R$  20,00 "," R$  16,00 ","R$ 0,00"
Biolab,Exame,CHIKUNGUNYA IGG E IGM - ANTICORPOS ANTI," R$  270,00 "," R$  250,00 ","R$ 0,00"
Biolab,Exame,CHLAMYDIA PNEUMOCOCO IGG," R$  70,00 "," R$  49,00 ","R$ 0,00"
Biolab,Exame,CHLAMYDIA PNEUMOCOCO IGM," R$  90,00 "," R$  63,00 ","R$ 0,00"
Biolab,Exame,CHLAMYDIA PSITTACI – IGG," R$  90,00 "," R$  63,00 ","R$ 0,00"
Biolab,Exame,CHLAMYDIA TRACOMATIS – IGG," R$  60,00 "," R$  42,00 ","R$ 0,00"
Biolab,Exame,CHLAMYDIA TRACOMATIS- IGM," R$  60,00 "," R$  42,00 ","R$ 0,00"
Biolab,Exame,CHUMBO SANGUINIO," R$  40,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,CHUMBO URINÁRIO," R$  40,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,"CICLOSPORINA, DOSAGEM"," R$  80,00 "," R$  56,00 ","R$ 0,00"
Biolab,Exame,CISTATINA C," R$  200,00 "," R$  140,00 ","R$ 0,00"
Biolab,Exame,CISTICERCOSE IGG," R$  60,00 "," R$  42,00 ","R$ 0,00"
Biolab,Exame,CITOLOGIA - LIQUIDO CEFALORAQUIDIANO (LCR)," R$  120,00 "," R$  84,00 ","R$ 0,00"
Biolab,Exame,CITOLOGIA - LIQUIDO PLEURAL," R$  120,00 "," R$  84,00 ","R$ 0,00"
Biolab,Exame,CITOLOGIA COM DIFERENCIAL," R$  80,00 "," R$  56,00 ","R$ 0,00"
Biolab,Exame,CITOLOGIA ONCOTICA PAPANICOLAU," R$  150,00 "," R$  30,00 ","R$ 0,00"
Biolab,Exame,CITOMEGALOVÍRUS IGG," R$  30,00 "," R$  16,00 ","R$ 0,00"
Biolab,Exame,CITOMEGALOVÍRUS IGG - AVIDEZ," R$  120,00 "," R$  84,00 ","R$ 0,00"
Biolab,Exame,CITOMEGALOVÍRUS IGM," R$  30,00 "," R$  17,00 ","R$ 0,00"
Biolab,Exame,"CITOMEGALOVIRUS QUALITATIVO, POR PCR"," R$  330,00 "," R$  231,00 ","R$ 0,00"
Biolab,Exame,"CITOMEGALOVIRUS QUANTITATIVO, POR PCR"," R$  410,00 "," R$  287,00 ","R$ 0,00"
Biolab,Exame,CITRATO URINA DE 24H," R$  40,00 "," R$  31,50 ","R$ 0,00"
Biolab,Exame,CITRATO URINÁRIO," R$  30,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,CK - MB CREATINOQUINASE," R$  35,00 "," R$  17,00 ","R$ 0,00"
Biolab,Exame,CLEARENCE DE CREATININA," R$  20,00 "," R$  12,00 ","R$ 0,00"
Biolab,Exame,CLEARENCE DE UREIA URINARIA," R$  30,00 "," R$  21,00 ","R$ 0,00"
Biolab,Exame,CLOBAZAM," R$  400,00 "," R$  280,00 ","R$ 0,00"
Biolab,Exame,CLORO URINÁRIO (AMOSTRA ISOLADA)," R$  10,00 "," R$  4,00 ","R$ 0,00"
Biolab,Exame,CLORO URINÁRIO (AMOSTRA URINA 24H)," R$  20,00 "," R$  4,00 ","R$ 0,00"
Biolab,Exame,CLOSTRIDIUM DIFFICILE - PESQUISA DA TOXINA A E B," R$  180,00 "," R$  126,00 ","R$ 0,00"
Biolab,Exame,"COAGULOGRAMA( TS, TC, CONTAGEM DE PLAQUETAS, TEMPO DE PROTROMBINA, TEMPO DE TROMBOPLASTINA, PARCIAL ATIVADO)"," R$  80,00 "," R$  15,00 ","R$ 0,00"
Biolab,Exame,COBRE," R$  30,00 "," R$  25,00 ","R$ 0,00"
Biolab,Exame,COBRE URINÁRIO," R$  45,00 "," R$  30,00 ","R$ 0,00"
Biolab,Exame,COFATOR DE RISTOCETINA/FATOR DE VON WILLERBRAND," R$  490,00 "," R$  343,00 ","R$ 0,00"
Biolab,Exame,COLESTEROL ( HDL )," R$  10,00 "," R$  7,00 ","R$ 0,00"
Biolab,Exame,COLESTEROL ( LDL )," R$  20,00 "," R$  6,00 ","R$ 0,00"
Biolab,Exame,COLESTEROL ( VLDL )," R$  10,00 "," R$  6,00 ","R$ 0,00"
Biolab,Exame,COLESTEROL LIQUIDOS," R$  20,00 "," R$  14,00 ","R$ 0,00"
Biolab,Exame,COLESTEROL TOTAL," R$  10,00 "," R$  6,00 ","R$ 0,00"
Biolab,Exame,COLINESTARASE (PARA CARBAMATOSORGANOFOSFORADOS)," R$  30,00 "," R$  12,00 ","R$ 0,00"
Biolab,Exame,COLINESTERASE ERITROCITÁRIA ACETIL," R$  100,00 "," R$  70,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO C1Q," R$  150,00 "," R$  105,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO C2," R$  160,00 "," R$  112,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO C3 -CC3," R$  30,00 "," R$  18,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO C4 - CC4," R$  30,00 "," R$  18,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO C5," R$  140,00 "," R$  98,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO CH100," R$  60,00 "," R$  42,00 ","R$ 0,00"
Biolab,Exame,COMPLEMENTO CH50/100," R$  40,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,COOMBS DIRETO," R$  10,00 "," R$  5,00 ","R$ 0,00"
Biolab,Exame,COOMBS INDIRETO," R$  20,00 "," R$  7,00 ","R$ 0,00"
Biolab,Exame,COPROCULTURA," R$  50,00 "," R$  29,00 ","R$ 0,00"
Biolab,Exame,COPROPORFIRINAS (PARA CHUMBO INORGÂNICO) FEZES," R$  70,00 "," R$  49,00 ","R$ 0,00"
Biolab,Exame,CORTISOL - BASAL (8H DA MANHÃ)," R$  40,00 "," R$  20,00 ","R$ 0,00"
Biolab,Exame,CORTISOL ÀS 16:00H," R$  30,00 "," R$  20,00 ","R$ 0,00"
Biolab,Exame,CORTISOL LIVRE(URINÁRIO)," R$  40,00 "," R$  20,00 ","R$ 0,00"
Biolab,Exame,CORTISOL SALIVAR," R$  50,00 "," R$  20,00 ","R$ 0,00"
Biolab,Exame,COVID 19 PESQUISA DE ANTIGENOS," R$  130,00 "," R$  30,00 ","R$ 0,00"
Biolab,Exame,COVID POR RT-PCR," R$  190,00 "," R$  133,00 ","R$ 0,00"
Biolab,Exame,COVID SOROLOGIA QUALITATIVA," R$  130,00 "," R$  91,00 ","R$ 0,00"
Biolab,Exame,COVID SOROLOGIA QUANTITATIVA," R$  180,00 "," R$  126,00 ","R$ 0,00"
Biolab,Exame,CREATININA," R$  10,00 "," R$  3,50 ","R$ 0,00"
